Paper Name,Paper Author,Paper Key Words,Issue Date
The Effects of Exposure to Better Neighborhoods on Children: New Evidence from the Moving to Opportunity Experiment,Raj Chetty;Nathaniel Hendren;Lawrence F. Katz,"I31 General Welfare; Well-Being;I38 Welfare, Well-Being, and Poverty: Government Programs; Provision and Effects of Welfare Programs;J13 Fertility; Family Planning; Child Care; Children; Youth;R23 Urban, Rural, Regional, Real Estate, and Transportation Economics: Regional Migration; Regional Labor Markets; Population; Neighborhood Characteristics;R38 Production Analysis and Firm Location: Government Policy","April 2016 (Vol. 106, No.4 )"
Long-Run Impacts of Childhood Access to the Safety Net,Hilary Hoynes;Diane Whitmore Schanzenbach;Douglas Almond,"I12 Health Behavior;I38 Welfare, Well-Being, and Poverty: Government Programs; Provision and Effects of Welfare Programs;J24 Human Capital; Skills; Occupational Choice; Labor Productivity","April 2016 (Vol. 106, No.4 )"
The Long-Run Impact of Cash Transfers to Poor Families,Anna Aizer;Shari Eli;Joseph Ferrie;Adriana Lleras-Muney,"I12 Health Behavior;I14 Health and Inequality;I18 Health: Government Policy; Regulation; Public Health;I32 Measurement and Analysis of Poverty;I38 Welfare, Well-Being, and Poverty: Government Programs; Provision and Effects of Welfare Programs;J16 Economics of Gender; Non-labor Discrimination;N32 Economic History: Labor and Consumers, Demography, Education, Health, Welfare, Income, Wealth, Religion, and Philanthropy: U.S.; Canada: 1913-","April 2016 (Vol. 106, No.4 )"
Bounding the Labor Supply Responses to a Randomized Welfare Experiment: A Revealed Preference Approach,Patrick Kline;Melissa Tartari,"H23 Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies;H75 State and Local Government: Health; Education; Welfare; Public Pensions;I38 Welfare, Well-Being, and Poverty: Government Programs; Provision and Effects of Welfare Programs;J16 Economics of Gender; Non-labor Discrimination;J22 Time Allocation and Labor Supply","April 2016 (Vol. 106, No.4 )"
Presidents and the US Economy: An Econometric Exploration,Alan S. Blinder;Mark W. Watson,"D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior;E23 Macroeconomics: Production;E32 Business Fluctuations; Cycles;E65 Studies of Particular Policy Episodes;N12 Economic History: Macroeconomics and Monetary Economics; Industrial Structure; Growth; Fluctuations: U.S.; Canada: 1913-;N42 Economic History: Government, War, Law, International Relations, and Regulation: U.S.; Canada: 1913-","April 2016 (Vol. 106, No.4 )"
The Evolution of Strategic Sophistication,Nikolaus Robalino;Arthur Robson,C73 Stochastic and Dynamic Games; Evolutionary Games; Repeated Games;D11 Consumer Economics: Theory;D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness,"April 2016 (Vol. 106, No.4 )"
Group Strategy-Proofness in Private Good Economies,Salvador Barber;Dolors Berga;Bernardo Moreno,"C78 Bargaining Theory; Matching Theory;D44 Auctions;D63 Equity, Justice, Inequality, and Other Normative Criteria and Measurement;D71 Social Choice; Clubs; Committees; Associations;D82 Asymmetric and Private Information; Mechanism Design","April 2016 (Vol. 106, No.4 )"
Fiscal Policy and Economic Recovery: The Case of the 1936 Veterans' Bonus,Joshua K. Hausman,"E21 Macroeconomics: Consumption; Saving; Wealth;E32 Business Fluctuations; Cycles;E62 Fiscal Policy;N32 Economic History: Labor and Consumers, Demography, Education, Health, Welfare, Income, Wealth, Religion, and Philanthropy: U.S.; Canada: 1913-;N42 Economic History: Government, War, Law, International Relations, and Regulation: U.S.; Canada: 1913-","April 2016 (Vol. 106, No.4 )"
The Caloric Costs of Culture: Evidence from Indian Migrants,David Atkin,"D12 Consumer Economics: Empirical Analysis;I12 Health Behavior;O15 Economic Development: Human Resources; Human Development; Income Distribution; Migration;R23 Urban, Rural, Regional, Real Estate, and Transportation Economics: Regional Migration; Regional Labor Markets; Population; Neighborhood Characteristics;Z12 Cultural Economics: Religion;Z13 Economic Sociology; Economic Anthropology; Social and Economic Stratification","April 2016 (Vol. 106, No.4 )"
The Bidder's Curse: Comment,Henry S. Schneider,D12 Consumer Economics: Empirical Analysis;D44 Auctions;D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness,"April 2016 (Vol. 106, No.4 )"
The Bidder's Curse: Reply,Ulrike Malmendier,D12 Consumer Economics: Empirical Analysis;D44 Auctions,"April 2016 (Vol. 106, No.4 )"
"Search, Liquidity, and the Dynamics of House Prices and Construction: Corrigendum",Allen Head;Huw Lloyd-Ellis;Hongfei Sun,"D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness;R21 Urban, Rural, Regional, Real Estate, and Transportation Economics: Housing Demand;R23 Urban, Rural, Regional, Real Estate, and Transportation Economics: Regional Migration; Regional Labor Markets; Population; Neighborhood Characteristics;R31 Housing Supply and Markets","April 2016 (Vol. 106, No.4 )"
The Determinants and Welfare Implications of US Workers' Diverging Location Choices by Skill: 1980-2000,Rebecca Diamond,"D31 Personal Income, Wealth, and Their Distributions;I26 Returns to Education;J24 Human Capital; Skills; Occupational Choice; Labor Productivity;J31 Wage Level and Structure; Wage Differentials;J61 Geographic Labor Mobility; Immigrant Workers;R23 Urban, Rural, Regional, Real Estate, and Transportation Economics: Regional Migration; Regional Labor Markets; Population; Neighborhood Characteristics","March 2016 (Vol. 106, No.3 )"
University Differences in the Graduation of Minorities in STEM Fields: Evidence from California,Peter Arcidiacono;Esteban M. Aucejo;V. Joseph Hotz,"D14 Household Saving; Personal Finance;E23 Macroeconomics: Production;E32 Business Fluctuations; Cycles;E43 Interest Rates: Determination, Term Structure, and Effects;E52 Monetary Policy;E61 Policy Objectives; Policy Designs and Consistency; Policy Coordination;E62 Fiscal Policy","March 2016 (Vol. 106, No.3 )"
Search Design and Broad Matching,Kfir Eliaz;Ran Spiegler,C78 Bargaining Theory; Matching Theory;D44 Auctions;D82 Asymmetric and Private Information; Mechanism Design,"March 2016 (Vol. 106, No.3 )"
How Do Electricity Shortages Affect Industry? Evidence from India,Hunt Allcott;Allan Collard-Wexler;Stephen D. O'Connell,"D24 Production; Cost; Capital; Capital, Total Factor, and Multifactor Productivity; Capacity;L60 Industry Studies: Manufacturing: General;L94 Electric Utilities;O13 Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products;O14 Industrialization; Manufacturing and Service Industries; Choice of Technology;Q41 Energy: Demand and Supply; Prices","March 2016 (Vol. 106, No.3 )"
"Firm Dynamics, Job Turnover, and Wage Distributions in an Open Economy",A. Kerem Coar;Nezih Guner;James Tybout,F13 Trade Policy; International Trade Organizations;F16 Trade and Labor Market Interactions;F66 Economic Impacts of Globalization: Labor;J31 Wage Level and Structure; Wage Differentials;J63 Labor Turnover; Vacancies; Layoffs;O15 Economic Development: Human Resources; Human Development; Income Distribution; Migration;O19 International Linkages to Development; Role of International Organizations,"March 2016 (Vol. 106, No.3 )"
Parameter Learning in General Equilibrium: The Asset Pricing Implications,Pierre Collin-Dufresne;Michael Johannes;Lars A. Lochstoer,"C52 Model Evaluation, Validation, and Selection;D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness;E13 General Aggregative Models: Neoclassical;E32 Business Fluctuations; Cycles;G12 Asset Pricing; Trading Volume; Bond Interest Rates","March 2016 (Vol. 106, No.3 )"
Liquidity Trap and Excessive Leverage,Anton Korinek;Alp Simsek,"D14 Household Saving; Personal Finance;E23 Macroeconomics: Production;E32 Business Fluctuations; Cycles;E43 Interest Rates: Determination, Term Structure, and Effects;E52 Monetary Policy;E61 Policy Objectives; Policy Designs and Consistency; Policy Coordination;E62 Fiscal Policy","March 2016 (Vol. 106, No.3 )"
The Effect of Unemployment Benefits and Nonemployment Durations on Wages,Johannes F. Schmieder;Till von Wachter;Stefan Bender,"J31 Wage Level and Structure; Wage Differentials;J64 Unemployment: Models, Duration, Incidence, and Job Search;J65 Unemployment Insurance; Severance Pay; Plant Closings","March 2016 (Vol. 106, No.3 )"
The Value of Postsecondary Credentials in the Labor Market: An Experimental Study,David J. Deming;Noam Yuchtman;Amira Abulafi;Claudia Goldin;Lawrence F. Katz,I23 Higher Education; Research Institutions;I26 Returns to Education;J24 Human Capital; Skills; Occupational Choice; Labor Productivity;J44 Professional Labor Markets; Occupational Licensing;J63 Labor Turnover; Vacancies; Layoffs;M51 Personnel Economics: Firm Employment Decisions; Promotions,"March 2016 (Vol. 106, No.3 )"
Taxpayer Confusion: Evidence from the Child Tax Credit,Naomi E. Feldman;Peter Katuk;Laura Kawano,D12 Consumer Economics: Empirical Analysis;D14 Household Saving; Personal Finance;H24 Personal Income and Other Nonbusiness Taxes and Subsidies; includes inheritance and gift taxes;H31 Fiscal Policies and Behavior of Economic Agents: Household,"March 2016 (Vol. 106, No.3 )"
Dictating the Risk: Experimental Evidence on Giving in Risky Environments: Comment,Michal Krawczyk;Fabrice Le Lec,"C72 Noncooperative Games;D63 Equity, Justice, Inequality, and Other Normative Criteria and Measurement;D64 Altruism; Philanthropy; Intergenerational Transfers;D81 Criteria for Decision-Making under Risk and Uncertainty","March 2016 (Vol. 106, No.3 )"
